#time(s),GeodLatitude(degs),GeodLongitude(degs),GeodAltitude(m),alpha deg,beta(pitch)  deg,gamma(roll) deg
24.7,29.9992699,-40.13092012,14839.02359,103.3971584,66.56847932,-5.599550343
24.8,29.99926562,-40.13172473,14878.56332,103.2129207,66.58750582,-5.80079445
24.9,29.99926133,-40.13253134,14918.34329,103.0283945,66.60625832,-6.002353515
25,29.99925703,-40.13333994,14958.36435,102.8435832,66.62473619,-6.204078856
25.1,29.99925273,-40.13415052,14998.62734,102.6586383,66.64293882,-6.406111951
25.2,29.99924841,-40.1349631,15039.13308,102.4732671,66.6608656,-6.608303709
25.3,29.99924409,-40.13577766,15079.8824,102.2878425,66.67866066,-6.81083595
25.4,29.99923975,-40.13659421,15120.87609,102.1022209,66.69603406,-7.013480256
25.5,29.99923541,-40.13741275,15162.11494,101.916332,66.71312984,-7.216271348
25.6,29.99923106,-40.13823326,15203.59974,101.7302493,66.73009245,-7.419248989
25.7,29.9992267,-40.13905576,15245.33127,101.5441318,66.74663135,-7.622176021
25.8,29.99922233,-40.13988025,15287.31032,101.357826,66.76303616,-7.825430008
25.9,29.99921795,-40.14070671,15329.53767,101.1713468,66.77901595,-8.028768751
26,29.99921356,-40.14153516,15372.01408,100.9848329,66.79486072,-8.232135285
26.1,29.99920916,-40.14236558,15414.74033,100.7983035,66.81027921,-8.435575006
26.2,29.99920476,-40.14319798,15457.71719,100.611597,66.82556179,-8.639182981
26.3,29.99920034,-40.14403236,15500.94544,100.4247994,66.84056254,-8.842758293
26.4,29.99919592,-40.14486872,15544.42582,100.2380012,66.85513516,-9.046389291
26.5,29.99919148,-40.14570705,15588.1591,100.0510346,66.8695706,-9.250030986
26.6,29.99918704,-40.14654737,15632.14605,99.86428509,66.88372267,-9.453625356
26.7,29.99918259,-40.14738965,15676.38741,99.67731248,66.8975909,-9.657315446
26.8,29.99917813,-40.14823392,15720.88394,99.49041707,66.91117479,-9.860948364
26.9,29.99917367,-40.14908015,15765.63639,99.30345486,66.92447386,-10.06451896
27,29.99916919,-40.14992837,15810.6455,99.11657811,66.93748767,-10.26817069
27.1,29.9991647,-40.15077856,15855.91199,98.96560757,66.94772812,-10.4327277
27.2,29.99916021,-40.15163072,15901.43633,98.87701561,66.9537281,-10.52939322
27.3,29.9991557,-40.15248487,15947.21853,98.83916977,66.9563627,-10.57089416
27.4,29.99915119,-40.15334102,15993.25822,98.84281961,66.95621633,-10.56740524
27.5,29.99914667,-40.15419919,16039.55477,98.88032831,66.95387446,-10.52707531
27.6,29.99914214,-40.15505938,16086.10727,98.94586949,66.94963039,-10.45631724
27.7,29.9991376,-40.15592162,16132.91465,99.03464963,66.94377772,-10.36036689
27.8,29.99913305,-40.15678594,16179.97569,99.14270785,66.93646386,-10.24321115
27.9,29.99912849,-40.15765235,16227.28903,99.26732329,66.92798252,-10.10815491
28,29.99912392,-40.15852089,16274.85322,99.40596115,66.91833493,-9.957929617
28.1,29.99911934,-40.15939157,16322.66674,99.55679279,66.90781463,-9.794492695
28.2,29.99911475,-40.16026441,16370.72797,99.71805726,66.89613071,-9.619558777
28.3,29.99911015,-40.16113946,16419.03528,99.88857928,66.88372267,-9.434540434
28.4,29.99910554,-40.16201673,16467.58698,100.0675448,66.87044574,-9.240463364
28.5,29.99910091,-40.16289625,16516.38132,100.2539869,66.85615556,-9.038207988
28.6,29.99909628,-40.16377805,16565.41658,100.4471852,66.84129096,-8.828574405
28.7,29.99909164,-40.16466215,16614.69109,100.646493,66.8254162,-8.612183001
28.8,29.99908698,-40.16554859,16664.20311,100.8515752,66.80882422,-8.389477508
28.9,29.99908232,-40.16643738,16713.95091,101.0621213,66.79151648,-8.160792369
29,29.99907764,-40.16732857,16763.93275,101.2777532,66.7733492,-7.926560639
29.1,29.99907295,-40.16822216,16814.14684,101.4983049,66.75432428,-7.686972234
29.2,29.99906825,-40.1691182,16864.5914,101.7235318,66.73458877,-7.44240718
29.3,29.99906354,-40.17001671,16915.26465,101.9530519,66.71399943,-7.192860887
29.4,29.99905882,-40.17091771,16966.16483,102.1869952,66.6925584,-6.938668035
29.5,29.99905408,-40.17182124,17017.29019,102.4250469,66.6702679,-6.679870613
29.6,29.99904933,-40.17272732,17068.63894,102.6670408,66.64713021,-6.416656299
29.7,29.99904457,-40.17363598,17120.20928,102.9129584,66.62314771,-6.1492121
29.8,29.99903979,-40.17454725,17171.99939,103.1627036,66.59817858,-5.877544939
29.9,29.999035,-40.17546115,17224.00744,103.4163336,66.57236992,-5.601733825
30,29.9990302,-40.17637771,17276.23165,103.6733053,66.54558037,-5.321933809
30.1,29.99902539,-40.17729697,17328.67029,103.9336785,66.51795688,-5.038652987
30.2,29.99902056,-40.17821893,17381.32165,104.1973523,66.48935861,-4.751614286
30.3,29.99901571,-40.17914364,17434.18398,104.4641566,66.45978889,-4.4610067
30.4,29.99901086,-40.18007112,17487.25553,104.7342181,66.42925117,-4.166874556
30.5,29.99900599,-40.18100139,17540.53451,105.0072795,66.39760587,-3.869239893
30.6,29.9990011,-40.18193448,17594.01913,105.2834046,66.3650001,-3.568315638
30.7,29.9989962,-40.18287042,17647.70762,105.5624246,66.33143759,-3.264287861
30.8,29.99899129,-40.18380924,17701.59829,105.8440785,66.29677963,-2.957039211
30.9,29.99898636,-40.18475096,17755.6894,106.1283419,66.26103073,-2.646902614
31,29.99898141,-40.18569561,17809.97922,106.4154337,66.22433764,-2.333795206
31.1,29.99897645,-40.1866432,17864.46599,106.7049933,66.18642063,-2.017735476
